file,num_tokens_transcripts,num_tokens_summary,num_tokens_shared_doc
ES2004d.json,11420,176,131699
ES2008b.json,10489,153,133296
IS1000b.json,11094,228,0
IS1004d.json,8416,203,14540
IS1008a.json,5233,161,7285
ES2015b.json,11276,207,0
IS1004a.json,2565,179,14540
TS3011b.json,9343,223,0
ES2015d.json,9300,238,0
IS1005b.json,8143,103,5196
ES2008c.json,10511,169,133296
TS3003a.json,4773,135,0
ES2013d.json,8113,203,0
ES2008d.json,13591,223,133296
ES2013c.json,10788,170,0
ES2015c.json,10138,182,0
IS1006d.json,7807,214,2394
IS1006c.json,8647,182,2394
IS1005a.json,2835,117,5196
ES2006d.json,11157,221,128486
ES2004b.json,11352,214,131699
TS3008a.json,4509,132,0
ES2009d.json,11581,161,12466
IS1005c.json,7457,207,5196
TS3003b.json,9023,172,0
TS3010b.json,7449,152,0
TS3012a.json,2967,146,0
ES2005a.json,1324,86,122788
TS3008c.json,11219,217,0
ES2013b.json,9435,177,0
ES2006b.json,11299,240,128486
IS1001c.json,5347,209,3775
ES2003a.json,3582,94,13186
IS1001d.json,3278,115,3775
IS1001a.json,3217,128,3775
ES2002b.json,13113,133,10929
ES2011b.json,7312,191,0
ES2016c.json,7682,218,0
ES2004c.json,10996,210,131699
ES2014b.json,10831,220,0
ES2012b.json,10001,193,0
ES2002a.json,4395,61,10929
ES2003c.json,10203,151,13186
ES2008a.json,4454,139,133296
ES2014d.json,13891,235,0
ES2012a.json,4883,136,0
ES2006c.json,12262,227,128486
ES2007d.json,5533,150,117904
ES2014a.json,4068,135,0
IS1009d.json,7454,204,7351
ES2013a.json,3095,124,0
IS1009b.json,9377,206,7351
TS3006b.json,10698,224,0
IS1000c.json,10443,233,0
ES2005d.json,6438,179,122788
IS1006b.json,9873,184,2394
TS3011c.json,9575,226,0
TS3007a.json,6033,172,0
ES2009b.json,7963,151,12466
ES2010d.json,4778,189,146918
IS1002b.json,14456,185,0
ES2002d.json,12973,169,10929
IS1001b.json,7639,198,3775
ES2016a.json,5314,99,0
IS1003b.json,6455,95,6331
ES2012c.json,11827,166,0
TS3008d.json,14819,214,0
ES2007b.json,6819,144,117904
ES2012d.json,4740,204,0
IS1004c.json,10514,608,14540
IS1000d.json,14140,245,0
IS1003d.json,9779,159,6331
TS3006a.json,5332,173,0
TS3011a.json,6432,204,0
ES2002c.json,12597,176,10929
IS1000a.json,5284,227,0
IS1002c.json,11535,209,0
IS1008b.json,8471,215,7285
ES2005b.json,9844,215,122788
ES2009a.json,6349,124,12466
IS1003a.json,2661,43,6331
ES2010b.json,7334,217,146918
ES2011c.json,7547,216,0
TS3009a.json,7709,116,0
ES2016b.json,9526,196,0
TS3008b.json,10818,234,0
IS1009a.json,3264,218,7351
IS1002d.json,5862,183,0
ES2007c.json,9670,162,117904
TS3012b.json,12921,229,0
IS1007b.json,6480,219,6295
IS1006a.json,3274,182,2394
ES2007a.json,4381,74,117904
ES2015a.json,4183,138,0
ES2016d.json,5836,208,0
IS1008d.json,7962,189,7285
ES2010c.json,8424,214,146918
TS3005c.json,11712,206,0
ES2011a.json,3891,154,0
IS1007c.json,10476,223,6295
ES2005c.json,11125,218,122788
IS1008c.json,7782,202,7285
TS3005a.json,5189,103,0
TS3005b.json,13211,139,0
IS1007d.json,10254,220,6295
TS3009b.json,12090,247,0
IS1007a.json,3912,115,6295
ES2006a.json,4852,158,128486
TS3006c.json,11506,154,0
TS3009d.json,10098,250,0
ES2011d.json,7139,205,0
ES2009c.json,10762,214,12466
TS3005d.json,16035,171,0
ES2014c.json,11020,215,0
ES2004a.json,4563,141,131699
TS3010a.json,2255,100,0
ES2003b.json,9995,150,13186
ES2010a.json,2481,160,146918
TS3010c.json,8031,204,0
IS1009c.json,7141,219,7351
IS1003c.json,8982,96,6331
TS3007b.json,11796,234,0
ES2003d.json,10871,183,13186
IS1004b.json,9659,204,14540
TS3009c.json,10680,219,0
